product_id,name,category,subcategory,price,stock,initial_rating,added_date,description
1,Dell Photo Appareil Photo Standard,Photo,Appareil Photo,4526.99,190,3.7,2025-08-26 10:25:45.743084,Performant Dell Photo Appareil Photo Standard. Haute performance. Idéal pour appareil photo. Catégorie Photo.
2,Xiaomi Ordinateurs Laptop Plus,Ordinateurs,Laptop,895.93,217,4.2,2024-07-12 10:25:45.743084,Élégant Xiaomi Ordinateurs Laptop Plus. Connectivité avancée. Idéal pour laptop. Catégorie Ordinateurs.
3,Sony Ordinateurs Desktop Pro,Ordinateurs,Desktop,2786.19,428,5.0,2023-12-04 10:25:45.743084,Performant Sony Ordinateurs Desktop Pro. Design moderne. Idéal pour desktop. Catégorie Ordinateurs.
4,Lenovo Accessoires Cable Pro,Accessoires,Cable,176.9,153,3.7,2024-03-06 10:25:45.743084,Puissant Lenovo Accessoires Cable Pro. Design moderne. Idéal pour cable. Catégorie Accessoires.
5,Asus Smartphones iPhone Pro,Smartphones,iPhone,690.03,276,4.9,2024-08-14 10:25:45.743084,Premium Asus Smartphones iPhone Pro. Design moderne. Idéal pour iphone. Catégorie Smartphones.
6,Lenovo Audio Soundbar Pro,Audio,Soundbar,215.43,81,4.7,2025-03-23 10:25:45.743084,Innovant Lenovo Audio Soundbar Pro. Design moderne. Idéal pour soundbar. Catégorie Audio.
7,Dell Accessoires Souris Max,Accessoires,Souris,97.38,220,5.0,2024-01-12 10:25:45.743084,Élégant Dell Accessoires Souris Max. Design moderne. Idéal pour souris. Catégorie Accessoires.
8,Lenovo Audio Casque Bluetooth Lite,Audio,Casque Bluetooth,338.4,434,3.8,2025-07-10 10:25:45.743084,Révolutionnaire Lenovo Audio Casque Bluetooth Lite. Design moderne. Idéal pour casque bluetooth. Catégorie Audio.
9,Apple Tablettes Android Tablet Plus,Tablettes,Android Tablet,423.88,279,3.8,2024-11-09 10:25:45.743084,Puissant Apple Tablettes Android Tablet Plus. Interface intuitive. Idéal pour android tablet. Catégorie Tablettes.
10,Samsung Audio Écouteurs Plus,Audio,Écouteurs,40.79,110,3.5,2025-06-22 10:25:45.743084,Polyvalent Samsung Audio Écouteurs Plus. Connectivité avancée. Idéal pour écouteurs. Catégorie Audio.
11,Apple Gaming Jeux Lite,Gaming,Jeux,454.21,91,4.6,2025-03-11 10:25:45.743084,Premium Apple Gaming Jeux Lite. Interface intuitive. Idéal pour jeux. Catégorie Gaming.
12,HP Composants RAM Max,Composants,RAM,908.23,11,4.5,2025-06-06 10:25:45.743084,Premium HP Composants RAM Max. Longue autonomie. Idéal pour ram. Catégorie Composants.
13,LG Gaming Manette Max,Gaming,Manette,707.6,138,3.8,2025-01-24 10:25:45.743084,Innovant LG Gaming Manette Max. Connectivité avancée. Idéal pour manette. Catégorie Gaming.
14,Xiaomi Accessoires Clavier Max,Accessoires,Clavier,155.26,154,4.7,2024-07-26 10:25:45.743084,Élégant Xiaomi Accessoires Clavier Max. Connectivité avancée. Idéal pour clavier. Catégorie Accessoires.
15,Xiaomi Smartphones Feature Phone Pro,Smartphones,Feature Phone,338.7,22,3.9,2025-08-09 10:25:45.743084,Élégant Xiaomi Smartphones Feature Phone Pro. Haute performance. Idéal pour feature phone. Catégorie Smartphones.
16,Sony Photo Objectif Pro,Photo,Objectif,4612.09,416,3.7,2025-03-06 10:25:45.743084,Élégant Sony Photo Objectif Pro. Connectivité avancée. Idéal pour objectif. Catégorie Photo.
17,Lenovo Smart Home Éclairage Pro,Smart Home,Éclairage,452.9,463,4.1,2024-03-06 10:25:45.743084,Premium Lenovo Smart Home Éclairage Pro. Longue autonomie. Idéal pour éclairage. Catégorie Smart Home.
18,Dell Smartphones iPhone Lite,Smartphones,iPhone,1381.38,219,3.6,2024-11-21 10:25:45.743084,Innovant Dell Smartphones iPhone Lite. Design moderne. Idéal pour iphone. Catégorie Smartphones.
19,Samsung Smartphones Android Standard,Smartphones,Android,1161.49,347,3.9,2025-04-12 10:25:45.743084,Compact Samsung Smartphones Android Standard. Longue autonomie. Idéal pour android. Catégorie Smartphones.
20,Xiaomi Ordinateurs Laptop Plus,Ordinateurs,Laptop,767.5,236,4.1,2025-06-16 10:25:45.743084,Performant Xiaomi Ordinateurs Laptop Plus. Haute performance. Idéal pour laptop. Catégorie Ordinateurs.
21,HP Photo Stabilisateur Max,Photo,Stabilisateur,2359.25,252,4.8,2023-11-22 10:25:45.743084,Performant HP Photo Stabilisateur Max. Longue autonomie. Idéal pour stabilisateur. Catégorie Photo.
22,LG Accessoires Housse Pro,Accessoires,Housse,34.97,421,4.7,2024-07-27 10:25:45.743084,Polyvalent LG Accessoires Housse Pro. Haute performance. Idéal pour housse. Catégorie Accessoires.
23,Samsung Ordinateurs Workstation Plus,Ordinateurs,Workstation,2969.25,182,4.2,2024-04-19 10:25:45.743084,Élégant Samsung Ordinateurs Workstation Plus. Design moderne. Idéal pour workstation. Catégorie Ordinateurs.
24,LG Wearables Smartwatch Lite,Wearables,Smartwatch,333.13,197,4.6,2025-06-22 10:25:45.743084,Révolutionnaire LG Wearables Smartwatch Lite. Interface intuitive. Idéal pour smartwatch. Catégorie Wearables.
25,HP Accessoires Housse Pro,Accessoires,Housse,121.21,169,4.4,2024-01-03 10:25:45.743084,Élégant HP Accessoires Housse Pro. Longue autonomie. Idéal pour housse. Catégorie Accessoires.
26,HP Tablettes Android Tablet Lite,Tablettes,Android Tablet,968.36,122,4.0,2024-04-02 10:25:45.743084,Révolutionnaire HP Tablettes Android Tablet Lite. Connectivité avancée. Idéal pour android tablet. Catégorie Tablettes.
27,Samsung Tablettes Android Tablet Standard,Tablettes,Android Tablet,1116.65,412,4.6,2024-09-27 10:25:45.743084,Innovant Samsung Tablettes Android Tablet Standard. Interface intuitive. Idéal pour android tablet. Catégorie Tablettes.
28,HP Smartphones Android Lite,Smartphones,Android,1182.21,33,4.5,2025-02-19 10:25:45.743084,Révolutionnaire HP Smartphones Android Lite. Interface intuitive. Idéal pour android. Catégorie Smartphones.
29,LG Accessoires Housse Max,Accessoires,Housse,138.16,380,4.4,2024-03-22 10:25:45.743084,Révolutionnaire LG Accessoires Housse Max. Interface intuitive. Idéal pour housse. Catégorie Accessoires.
30,Sony Tablettes Windows Tablet Plus,Tablettes,Windows Tablet,639.28,312,4.4,2024-11-04 10:25:45.743084,Révolutionnaire Sony Tablettes Windows Tablet Plus. Design moderne. Idéal pour windows tablet. Catégorie Tablettes.
31,Apple Accessoires Clavier Standard,Accessoires,Clavier,125.03,2,4.5,2024-04-20 10:25:45.743084,Polyvalent Apple Accessoires Clavier Standard. Design moderne. Idéal pour clavier. Catégorie Accessoires.
32,Asus Gaming Console Pro,Gaming,Console,369.49,5,4.1,2023-12-29 10:25:45.743084,Polyvalent Asus Gaming Console Pro. Haute performance. Idéal pour console. Catégorie Gaming.
33,Dell Photo Stabilisateur Lite,Photo,Stabilisateur,4454.44,303,4.8,2024-08-10 10:25:45.743084,Compact Dell Photo Stabilisateur Lite. Interface intuitive. Idéal pour stabilisateur. Catégorie Photo.
34,Dell Smartphones iPhone Plus,Smartphones,iPhone,906.91,101,3.7,2024-11-08 10:25:45.743084,Premium Dell Smartphones iPhone Plus. Design moderne. Idéal pour iphone. Catégorie Smartphones.
35,Sony Accessoires Clavier Pro,Accessoires,Clavier,17.63,191,4.8,2025-01-07 10:25:45.743084,Puissant Sony Accessoires Clavier Pro. Longue autonomie. Idéal pour clavier. Catégorie Accessoires.
36,HP Gaming Console Pro,Gaming,Console,1855.82,375,4.0,2025-08-17 10:25:45.743084,Puissant HP Gaming Console Pro. Connectivité avancée. Idéal pour console. Catégorie Gaming.
